time                ,algo ,unpaid_total_amount ,unpaid_algo_amount ,profitability            ,balance
2021-03-29 08:40:00 ,20   ,0.00000230          ,0.00000218         ,0.00007776               ,
2021-03-29 08:40:00 ,47   ,0.00000230          ,0.00000012         ,0.00007776               ,
2021-03-29 08:35:00 ,20   ,0.00000203          ,0.00000192         ,0.00009215999999999998   ,
2021-03-29 08:35:00 ,47   ,0.00000203          ,0.00000011         ,0.00009215999999999998   ,
2021-03-29 08:30:00 ,20   ,0.00000171          ,0.00000161         ,0.00012384               ,
2021-03-29 08:30:00 ,47   ,0.00000171          ,0.00000010         ,0.00012384               ,
2021-03-29 08:25:00 ,20   ,0.00000128          ,0.00000122         ,0.00009792000000000002   ,
2021-03-29 08:25:00 ,47   ,0.00000128          ,0.00000006         ,0.00009792000000000002   ,
2021-03-29 08:20:00 ,20   ,0.00000097          ,0.00000093         ,0                        ,
2021-03-29 08:20:00 ,47   ,0.00000097          ,0.00000004         ,0                        ,
2021-03-29 08:15:00 ,20   ,0.00000083          ,0.00000079         ,0.00007488000000000001   ,
2021-03-29 08:15:00 ,47   ,0.00000083          ,0.00000004         ,0.00007488000000000001   ,
2021-03-29 08:10:00 ,20   ,0.00000057          ,0.00000054         ,0.00008352000000000001   ,
2021-03-29 08:10:00 ,47   ,0.00000057          ,0.00000003         ,0.00008352000000000001   ,
2021-03-29 08:05:00 ,20   ,0.00000028          ,0.00000026         ,0.00007776               ,
2021-03-29 08:05:00 ,47   ,0.00000028          ,0.00000002         ,0.00007776               ,
2021-03-29 08:00:00 ,20   ,0.00000001          ,0.00000000         ,0.00006912               ,
2021-03-29 08:00:00 ,47   ,0.00000001          ,0.00000001         ,0.00006912               ,
2021-03-29 07:59:59 ,20   ,0.00001436          ,0.00001376         ,0.00006624               ,
2021-03-29 07:59:59 ,47   ,0.00001436          ,0.00000060         ,0.00006624               ,
2021-03-29 07:55:00 ,20   ,0.00001413          ,0.00001353         ,0.00010944               ,
2021-03-29 07:55:00 ,47   ,0.00001413          ,0.00000060         ,0.00010944               ,
2021-03-29 07:50:00 ,20   ,0.00001375          ,0.00001317         ,0.00012096               ,
2021-03-29 07:50:00 ,47   ,0.00001375          ,0.00000058         ,0.00012096               ,
2021-03-29 07:45:00 ,20   ,0.00001333          ,0.00001276         ,0.00008352000000000001   ,
2021-03-29 07:45:00 ,47   ,0.00001333          ,0.00000057         ,0.00008352000000000001   ,
2021-03-29 07:40:00 ,20   ,0.00001304          ,0.00001248         ,0.00007488               ,
2021-03-29 07:40:00 ,47   ,0.00001304          ,0.00000056         ,0.00007488               ,
2021-03-29 07:35:00 ,20   ,0.00001278          ,0.00001223         ,0.00008928               ,
2021-03-29 07:35:00 ,47   ,0.00001278          ,0.00000055         ,0.00008928               ,
2021-03-29 07:30:00 ,20   ,0.00001247          ,0.00001194         ,0.00009504000000000001   ,
2021-03-29 07:30:00 ,47   ,0.00001247          ,0.00000053         ,0.00009504000000000001   ,
2021-03-29 07:25:00 ,20   ,0.00001214          ,0.00001163         ,0.0001008                ,
2021-03-29 07:25:00 ,47   ,0.00001214          ,0.00000051         ,0.0001008                ,
2021-03-29 07:20:00 ,20   ,0.00001179          ,0.00001129         ,0.00006624               ,
2021-03-29 07:20:00 ,47   ,0.00001179          ,0.00000050         ,0.00006624               ,
2021-03-29 07:15:00 ,20   ,0.00001156          ,0.00001106         ,0.00008927999999999999   ,
2021-03-29 07:15:00 ,47   ,0.00001156          ,0.00000050         ,0.00008927999999999999   ,
2021-03-29 07:05:00 ,20   ,0.00001095          ,0.00001049         ,0.00010944               ,
2021-03-29 07:05:00 ,47   ,0.00001095          ,0.00000046         ,0.00010944               ,
2021-03-29 07:00:00 ,20   ,0.00001057          ,0.00001012         ,0.00008928               ,
2021-03-29 07:00:00 ,47   ,0.00001057          ,0.00000045         ,0.00008928               ,
2021-03-29 06:55:00 ,20   ,0.00001026          ,0.00000981         ,0.0000864                ,
2021-03-29 06:55:00 ,47   ,0.00001026          ,0.00000045         ,0.0000864                ,
2021-03-29 06:50:00 ,20   ,0.00000996          ,0.00000952         ,0.00004032000000000001   ,
2021-03-29 06:50:00 ,47   ,0.00000996          ,0.00000044         ,0.00004032000000000001   ,
2021-03-29 06:45:00 ,20   ,0.00000982          ,0.00000939         ,0.00008640000000000001   ,
